fightWinScore,fightLoseScore,scareWinScore,threatWinScore,threatLoseScore,hawkFraction
-58,35,19,-51,25,0.745
-93,-23,41,-13,-61,0.6
1,87,-100,-63,-30,0.0
-28,-83,28,62,-71,0.371
34,-43,-31,77,5,0.0
-83,9,-88,71,42,0.0
8,64,-54,64,-23,0.0
26,-85,26,-50,-46,0.736
-40,33,19,-47,88,0.54
-41,-96,38,-84,62,0.399
97,59,25,37,92,0.5
84,-27,60,27,-97,0.991
-46,33,-79,-80,59,0.0
50,-73,-10,78,-41,0.0
40,-91,72,-97,-70,0.853
1,-38,-91,38,13,0.0
92,-22,3,18,16,0.497
96,-73,38,-68,38,0.972
23,69,-59,74,27,0.0
59,-91,-12,32,7,0.0
53,-93,96,-71,-82,0.907
-27,98,27,64,97,0.499
-10,52,4,29,-80,0.988
24,-11,80,-34,27,0.924
-63,-61,-68,-43,8,0.0
44,-6,79,38,-57,0.968
-83,65,-65,31,-53,0.0
72,-75,-36,10,-53,0.0
-63,69,40,-11,-56,0.991
-89,-35,99,1,90,0.407
84,-88,64,-47,90,0.52
-56,50,43,-78,5,0.959
-69,-1,-32,-53,67,0.0
-5,41,-37,40,61,0.0
60,-90,49,99,-13,0.424
-52,23,-23,98,-32,0.0
-34,81,-3,19,17,0.447
-9,7,63,-99,46,0.983
100,99,-80,32,15,0.0
63,-45,-44,-26,-87,0.998
-51,48,21,3,82,0.45
27,-90,12,-31,20,0.364
-26,-26,29,-96,-78,0.765
46,-35,-38,5,-95,0.0
93,68,-97,-48,-96,0.996
-65,-5,5,70,35,0.09
17,-28,46,-74,93,0.765
52,-100,1,-94,-69,0.76
10,95,-85,21,57,0.0
-21,10,-4,51,-33,0.0
-23,21,-52,-77,83,0.0
91,21,22,-10,-66,0.995
-84,-51,-49,0,-22,0.0
45,7,-88,-84,56,0.0
-86,-82,-25,-25,-92,0.215
90,25,88,4,-25,0.992
16,-46,73,-95,72,0.833
-58,-61,-16,-85,0,0.176
77,-74,11,-88,-13,0.987
-95,94,-66,-28,77,0.0
50,-26,58,-77,68,0.927
95,-28,-96,42,44,0.0
-85,-12,-14,-72,-16,0.37
-53,-32,21,-48,99,0.242
-53,-34,74,50,82,0.435
-50,1,71,-84,-42,0.841
26,7,83,-14,22,0.509
79,-5,-70,-21,-85,0.997
-65,-70,-39,93,10,0.0
82,18,52,-79,-47,0.998
-49,-89,23,81,-37,0.167
83,22,20,-99,-56,0.997
-44,44,-30,-71,-36,0.981
80,-19,4,38,58,0.498
92,47,-14,-69,61,0.926
-22,6,-6,12,85,0.0
73,-4,48,-97,-67,0.996
97,-95,-18,-33,75,0.0
-30,3,-19,-28,-95,0.69
19,-78,-83,-40,-51,0.0
64,64,-41,76,22,0.0
-69,73,46,33,-67,0.974
86,-3,87,32,-68,0.985
3,11,84,86,-67,0.738
32,36,-51,-85,-5,0.995
48,0,-11,-4,79,0.488
53,-23,77,34,-1,0.499
98,-61,-12,-82,-11,0.997
-62,81,-43,-37,-73,0.994
-79,1,37,14,31,0.344
-33,-5,-81,-68,91,0.0
81,99,43,-16,56,0.504
-25,-67,60,27,-66,0.644
-39,-62,-39,77,-23,0.0
-35,-98,-8,60,75,0.0
52,-94,96,81,100,0.466
15,-84,9,-44,8,0.458
0,64,47,59,-44,0.687
33,70,85,-95,54,0.978
98,-94,82,41,-47,0.889
-10,-84,40,-23,22,0.449
96,5,-16,-72,66,0.908
-6,-29,77,84,90,0.495
66,-91,69,-57,33,0.865
-13,-1,16,-24,84,0.51
-33,5,-47,98,-13,0.0
72,36,98,61,63,0.5
93,-61,93,-12,-78,0.993
-85,-59,95,-88,-95,0.691
-45,-89,58,-86,-30,0.637
-99,44,-74,10,72,0.0
70,10,82,16,-2,0.5
-36,31,-46,30,0,0.0
34,-28,67,-62,14,0.99
61,-39,-11,32,38,0.0
-94,-15,-91,28,-20,0.0
-49,-44,76,-27,28,0.6
51,-56,88,59,88,0.485
83,100,25,63,-77,0.94
60,-35,73,-43,-6,0.992
49,-32,63,-77,57,0.957
12,19,45,1,-20,0.986
-60,14,-97,86,50,0.0
99,59,7,-91,-60,1.0
-83,89,-49,72,74,0.0
-44,93,71,30,-30,0.808
23,70,-28,-51,86,0.585
51,76,14,4,-7,0.895
-82,-52,48,-45,-19,0.564
-57,23,83,-59,57,0.835
27,84,-85,-90,-70,0.994
29,16,79,-38,16,0.98
86,24,17,-65,-13,0.997
70,100,61,58,31,0.5
64,97,38,62,63,0.5
15,55,-68,-47,-59,0.997
-89,30,8,-53,77,0.152
-18,49,16,-92,0,0.996
30,34,-47,19,-83,0.991
-36,86,48,-29,60,0.526
5,-5,89,13,-94,0.993
-88,1,-23,39,-65,0.0
-97,93,27,-70,7,0.951
-58,33,-68,68,-84,0.0
23,-29,16,-8,-58,0.957
-3,-18,82,12,-86,0.915
61,69,68,-46,51,0.794
8,-15,-16,-40,-16,0.717
46,84,-86,99,-39,0.0
-55,-33,-73,-85,38,0.0
36,3,-9,12,78,0.494
-8,46,19,-69,81,0.803
-59,-20,-83,32,-63,0.0
21,8,40,28,34,0.5
12,26,47,78,-19,0.505
-97,-21,-78,-75,12,0.0
-56,13,99,39,45,0.479
57,54,60,56,87,0.5
42,63,-52,-12,-85,0.998
-86,-36,-1,-90,66,0.115
-64,-90,37,-57,10,0.446
60,-29,-74,42,9,0.0
25,-86,-82,-39,85,0.0
-10,-63,-64,30,65,0.0
88,-64,81,91,85,0.48
-29,-75,-88,-20,17,0.0
16,83,-49,-24,20,0.0
-66,-43,66,62,-6,0.381
86,-2,-9,-10,-27,0.994
70,-37,20,92,-94,0.899
72,-42,-90,-33,-96,0.0
